Word, Count, Time_exc
aaron, 350, 0.044
aaronites, 2, 0.044
abaddon, 1, 0.044
abagtha, 1, 0.044
abana, 1, 0.044
abarim, 4, 0.044
abase, 4, 0.044
abased, 4, 0.044
abasing, 1, 0.044
abated, 6, 0.044
abba, 3, 0.044
abda, 2, 0.044
abdeel, 1, 0.044
abdi, 3, 0.044
abdiel, 1, 0.044
abdon, 8, 0.044
abednego, 15, 0.044
abel, 16, 0.044
abelbethmaachah, 2, 0.044
abelmaim, 1, 0.044
abelmeholah, 3, 0.044
abelmizraim, 1, 0.044
abelshittim, 1, 0.044
abez, 1, 0.044
abhor, 19, 0.044
abhorred, 16, 0.044
abhorrest, 2, 0.044
abhorreth, 5, 0.044
abhorring, 1, 0.044
abi, 1, 0.044
abia, 4, 0.044
abiah, 4, 0.044
abialbon, 1, 0.044
abiasaph, 1, 0.044
abiathar, 31, 0.044
abib, 6, 0.044
abida, 1, 0.044
abidah, 1, 0.044
abidan, 5, 0.044
abide, 82, 0.044
abideth, 30, 0.044
abiding, 9, 0.044
abiel, 3, 0.044
abiezer, 7, 0.044
abiezrite, 1, 0.044
abiezrites, 2, 0.044
abigail, 17, 0.044
abihail, 6, 0.044
abihu, 12, 0.044
abihud, 1, 0.044
abijah, 20, 0.044
abijam, 5, 0.044
abilene, 1, 0.044
ability, 7, 0.044
abimael, 2, 0.044
abimelech, 66, 0.044
abinadab, 13, 0.044
abinoam, 4, 0.044
abiram, 11, 0.044
abishag, 5, 0.044
abishai, 25, 0.044
abishalom, 2, 0.044
abishua, 5, 0.044
abishur, 2, 0.044
abital, 2, 0.044
abitub, 1, 0.044
abiud, 2, 0.044
abjects, 1, 0.044
able, 160, 0.044
abner, 63, 0.044
aboard, 1, 0.044
abode, 69, 0.044
abodest, 1, 0.044
abolish, 1, 0.044
abolished, 5, 0.044
abominable, 23, 0.044
abominably, 1, 0.044
abomination, 76, 0.044
abominations, 76, 0.044
abound, 19, 0.044
abounded, 5, 0.044
aboundeth, 3, 0.044
abounding, 3, 0.044
abraham, 250, 0.044
abram, 61, 0.044
abroad, 80, 0.044
absalom, 108, 0.044
absence, 2, 0.044
absent, 11, 0.044
abstain, 6, 0.044
abstinence, 1, 0.044
abundance, 68, 0.044
abundant, 13, 0.044
abundantly, 32, 0.044
abuse, 3, 0.044
abused, 1, 0.044
abusers, 1, 0.044
abusing, 1, 0.044
accad, 1, 0.044
accept, 25, 0.044
acceptable, 23, 0.044
acceptably, 1, 0.044
acceptance, 1, 0.044
acceptation, 2, 0.044
accepted, 29, 0.044
acceptest, 1, 0.044
accepteth, 4, 0.044
accepting, 1, 0.044
access, 3, 0.044
accho, 1, 0.044
accompanied, 4, 0.044
accompany, 1, 0.044
accompanying, 1, 0.044
accomplish, 13, 0.044
accomplished, 26, 0.044
accomplishing, 1, 0.044
accomplishment, 1, 0.044
accord, 16, 0.044
according, 797, 0.044
accordingly, 1, 0.044
account, 17, 0.044
accounted, 12, 0.044
accounting, 1, 0.044
accounts, 1, 0.044
accursed, 20, 0.044
accusation, 10, 0.044
accuse, 16, 0.044
accused, 14, 0.044
accuser, 1, 0.044
accusers, 8, 0.044
accuseth, 1, 0.044
accusing, 1, 0.044
accustomed, 1, 0.044
aceldama, 1, 0.044
achaia, 11, 0.044
achaicus, 1, 0.044
achan, 6, 0.044
achar, 1, 0.044
achaz, 2, 0.044
achbor, 7, 0.044
achim, 2, 0.044
achish, 21, 0.044
achmetha, 1, 0.044
achor, 5, 0.044
achsa, 1, 0.044
achsah, 4, 0.044
achshaph, 3, 0.044
achzib, 4, 0.044
acknowledge, 17, 0.044
acknowledged, 2, 0.044
acknowledgement, 1, 0.044
acknowledgeth, 1, 0.044
acknowledging, 3, 0.044
acquaint, 1, 0.044
acquaintance, 11, 0.044
acquainted, 2, 0.044
acquainting, 1, 0.044
acquit, 2, 0.044
acre, 1, 0.044
acres, 1, 0.044
act, 4, 0.044
actions, 1, 0.044
activity, 1, 0.044
acts, 67, 0.044
adadah, 1, 0.044
adah, 8, 0.044
adaiah, 9, 0.044
adalia, 1, 0.044
adam, 31, 0.044
adamah, 1, 0.044
adamant, 2, 0.044
adami, 1, 0.044
adar, 10, 0.044
adbeel, 2, 0.044
add, 33, 0.044
addan, 1, 0.044
addar, 1, 0.044
added, 15, 0.044
adder, 4, 0.044
adders, 1, 0.044
addeth, 4, 0.044
addi, 1, 0.044
addicted, 1, 0.044
addition, 1, 0.044
additions, 2, 0.044
addon, 1, 0.044
ader, 1, 0.044
adiel, 3, 0.044
adin, 4, 0.044
adina, 1, 0.044
adino, 1, 0.044
adithaim, 1, 0.044
adjure, 5, 0.044
adjured, 2, 0.044
adlai, 1, 0.044
admah, 5, 0.044
admatha, 1, 0.044
administered, 2, 0.044
administration, 1, 0.044
administrations, 1, 0.044
admiration, 2, 0.044
admired, 1, 0.044
admonish, 3, 0.044
admonished, 5, 0.044
admonishing, 1, 0.044
admonition, 3, 0.044
adna, 2, 0.044
adnah, 2, 0.044
ado, 1, 0.044
adonibezek, 3, 0.044
adonijah, 26, 0.044
adonikam, 3, 0.044
adoniram, 2, 0.044
adonizedec, 2, 0.044
adoption, 5, 0.044
adoraim, 1, 0.044
adoram, 2, 0.044
adorn, 2, 0.044
adorned, 4, 0.044
adorneth, 1, 0.044
adorning, 2, 0.044
adrammelech, 3, 0.044
adramyttium, 1, 0.044
adria, 1, 0.044
adriel, 2, 0.044
adullam, 8, 0.044
adullamite, 3, 0.044
adulterer, 3, 0.044
adulterers, 9, 0.044
adulteress, 4, 0.044
adulteresses, 3, 0.044
adulteries, 5, 0.044
adulterous, 4, 0.044
adultery, 40, 0.044
adultress, 1, 0.044
adummim, 2, 0.044
advanced, 4, 0.044
advantage, 4, 0.044
advantaged, 1, 0.044
advantageth, 1, 0.044
adventure, 2, 0.044
adventured, 1, 0.044
adversaries, 36, 0.044
adversary, 22, 0.044
adversities, 2, 0.044
adversity, 10, 0.044
advertise, 2, 0.044
advice, 9, 0.044
advise, 3, 0.044
advised, 2, 0.044
advisement, 1, 0.044
advocate, 1, 0.044
aeneas, 2, 0.044
aenon, 1, 0.044
afar, 51, 0.044
affairs, 8, 0.044
affect, 2, 0.044
affected, 2, 0.044
affecteth, 1, 0.044
affection, 6, 0.044
affectionately, 1, 0.044
affectioned, 1, 0.044
affections, 2, 0.044
affinity, 3, 0.044
affirm, 3, 0.044
affirmed, 3, 0.044
afflict, 36, 0.044
afflicted, 54, 0.044
afflictest, 1, 0.044
affliction, 75, 0.044
afflictions, 13, 0.044
affording, 1, 0.044
affright, 1, 0.044
affrighted, 9, 0.044
afoot, 2, 0.044
afore, 7, 0.044
aforehand, 1, 0.044
aforetime, 7, 0.044
afraid, 193, 0.044
afresh, 1, 0.044
afternoon, 1, 0.044
afterward, 66, 0.044
afterwards, 13, 0.044
agabus, 2, 0.044
agag, 8, 0.044
agagite, 5, 0.044
agar, 2, 0.044
agate, 3, 0.044
agates, 1, 0.044
age, 42, 0.044
aged, 9, 0.044
agee, 1, 0.044
ages, 4, 0.044
ago, 13, 0.044
agone, 1, 0.044
agony, 1, 0.044
